State,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021
Georgia,10.3,10.2,10.2,10.1,9.9,9.8,9.6,9.5,9.4,9.3,9.3,9.2,9.1,9,8.9,8.8,8.7,8.7,8.6,8.6,8.6,8.5,8.4,8.3,8.2,8.1,8,7.9,7.8,7.7,7.6,7.5,7.4,7.4,7.4,7.3,7.3,7.2,7.1,7,6.8,6.7,6.6,6.5,6.4,6.3,6.3,6.2,6.1,6,5.9,5.9,5.8,5.8,5.7,5.7,5.7,5.6,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7,4.6,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.1,4,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.5,3.6,12.5,9.4,8.4,7.6,7,6.5,5.9,5.6,5.3,5.1,4.8,4.5,4.3,4.1,4
Hawaii,6.9,7,7,7,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.1,5.9,5.7,5.5,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.4,4.3,4.2,4.1,4.1,4,3.9,3.9,3.8,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.5,2.5,2.4,2.3,2.2,2.1,2,2,2,2,2,2.1,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.4,2.3,2.2,2.1,2.1,2,2.1,2.1,21.9,21.9,14.1,14.1,14.1,14.8,14,10.3,10.3,10.3,9.2,9.1,8.5,8,7.7
Idaho,8.3,8.2,8.1,8,7.9,7.8,7.7,7.7,7.6,7.6,7.6,7.5,7.5,7.4,7.3,7.2,7.2,7.1,7.1,7,7,7,7,7,6.9,6.9,6.9,6.9,6.8,6.4,6,5.6,5.2,4.9,4.6,4.5,4,4,4,4,4,3.9,3.9,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.4,3.4,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.5,2.6,2.6,2.7,11.6,8.3,7,5.9,4.9,6,4.8,4.3,3.8,3.5,3.3,3.2,3.1,3,3
Illinois,9.9,10,10.1,10,9.9,9.7,9.5,9.3,9.1,9,9,9,9.1,9,9,9,9,9,9.1,9.2,9.3,9.3,9.3,9.2,9.2,9.2,9.1,9,8.8,8.7,8.6,8.4,8.1,7.9,7.6,7.4,7.2,7,6.8,6.6,6.5,6.3,6.2,6.1,6.1,6,6,6,6,5.9,5.9,5.9,5.9,6,6.1,6.2,6.2,6.2,6.1,6,5.9,5.8,5.8,5.7,5.7,5.6,5.4,5.3,5.1,5,5,4.9,4.9,5,5,4.9,4.8,4.8,4.7,4.5,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.5,4.5,4.5,4.4,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,3.5,3.5,3.6,3.7,16.5,15.4,14.2,12,11.1,10.4,8.1,8.1,8,7.7,7.4,7.1,7.1,7.1,7.2
Indiana,8.9,9.1,9.1,9.1,9,8.8,8.6,8.4,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8,7.8,7.7,7.5,7.3,7.1,6.9,6.7,6.5,6.4,6.3,6.2,6.1,6.1,6,5.9,5.8,5.8,5.7,5.6,5.5,5.4,5.2,5.1,4.9,4.8,4.7,4.6,4.6,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4.1,4,3.8,3.7,3.6,3.5,3.4,3.4,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.2,3.2,3.3,16.9,12,10.1,8.6,7.3,6.3,5.6,5,4.6,4.2,4,3.9,3.9,4,4.1
Iowa,5.7,5.7,5.7,5.6,5.5,5.5,5.3,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5,5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.2,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,11.1,8.3,7.1,6.1,5.3,4.7,4.2,3.9,3.7,3.6,3.7,3.7,3.8,3.9,4
Kansas,6.4,6.3,6.3,6.3,6.2,6.1,6,5.9,5.9,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.3,4.2,4.1,4,4,3.9,3.9,3.9,3.9,3.9,3.9,4,4,4,4.1,4.1,4.1,4.1,4.1,4,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,12.6,9,7,6.6,6.2,6.1,4.7,4.7,4.7,3.4,3.8,3.7,3.5,3.5,3.7
Kentucky,9.5,9.5,9.4,9.3,9.2,9,8.7,8.5,8.4,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.1,8.1,8,8,8,8,8,8,8,8,8,7.9,7.8,7.7,7.6,7.5,7.3,7.2,7,6.7,6.5,6.3,6,5.9,5.7,5.5,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5,4.9,4.9,4.9,5,5,5.1,5.1,5.1,5.1,5,5,5,4.9,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,16.9,10.9,5.7,5.6,5.5,5.5,5.5,5.6,5.6,5.3,5.2,5,4.7,4.5,4.4
Louisiana,7.4,7.4,7.3,7.3,7.3,7.3,7.2,7.1,7.1,7,7,6.9,6.8,6.7,6.6,6.5,6.4,6.5,6.6,6.7,6.8,6.8,6.7,6.7,6.6,6.5,6.4,6.2,6,5.9,5.7,5.6,5.6,5.7,5.8,6,6.2,6.4,6.6,6.7,6.8,6.8,6.8,6.8,6.7,6.6,6.5,6.4,6.3,6.1,6.1,6,6,6,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6,5.9,5.8,5.7,5.5,5.4,5.2,5.1,5,4.9,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.6,4.4,4.4,4.3,4.4,4.5,4.7,4.8,4.9,4.9,5,5.1,5.2,5.3,13.1,13.1,9.4,9.1,8.2,8,7.9,7.9,7.9,7.6,7.6,7.4,7.2,7.1,6.9
Maine,7.8,7.8,7.7,7.6,7.5,7.4,7.3,7.2,7.2,7.2,7.2,7.3,7.3,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7,7,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4,4,4,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.1,3,2.9,2.9,3,3.1,3.2,3.2,3.3,3.3,3.2,3.2,3.1,3,2.8,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.8,3,3.1,3.1,9.1,8.3,5.3,8.8,5.2,4.9,4.8,4.9,5,5.2,4.8,4.8,4.8,4.8,4.8
Maryland,7.4,7.4,7.4,7.3,7.2,7.1,7,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.2,6.1,6.1,6,5.9,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4,4,4,4.1,4.1,4.1,4.1,4.1,4.1,4,4,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.4,3.5,3.5,9,9,8.6,8.7,8.6,7,6.8,6.8,6.8,6.4,6.2,6.2,6.2,6.1,6.2
Massachusetts,7.3,7.2,7.2,7.1,7,6.9,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.4,5.2,5.2,5.1,5,5,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4.1,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,2.8,2.8,2.7,16.4,15.3,14.8,9.8,9.3,8.9,8.5,8.4,8.4,7.8,7,6.7,6.4,5,4.9
Michigan,10.2,10.2,10.1,9.9,9.8,9.6,9.4,9.2,9.1,9.1,9.1,9.1,9.1,9,9,9,9,9,9,9,9,8.9,8.9,8.8,8.8,8.8,8.8,8.6,8.5,8.4,8.2,8.1,8,7.9,7.7,7.5,7.4,7.2,7,6.8,6.6,6.4,6.2,6,5.9,5.8,5.7,5.6,5.5,5.4,5.2,5.1,5,5,4.9,4.9,4.9,5,5,5,5,5,5,5.1,5.1,5.1,5,4.9,4.7,4.5,4.4,4.3,4.4,4.5,4.6,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,4,4,4,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4,3.9,3.8,3.7,3.7,3.7,3.7,23.6,20.8,14.1,9,8.5,8.2,8.1,8.2,8.2,5.7,5.2,5.1,4.9,5,5
Minnesota,6.7,6.7,6.6,6.4,6.2,6,5.9,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.5,5.4,5.4,5.3,5.2,5.2,5.1,5.1,5,5,4.9,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.3,4.2,4.1,4,4,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,4,4,4,3.9,3.8,3.7,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.9,3,3,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.3,3.5,9,11.3,8.9,7.6,6.6,5.8,5.3,5,4.7,4.5,4.4,4.2,4.1,4,4
Mississippi,9.9,9.9,9.9,9.8,9.7,9.5,9.3,9.1,9,8.9,8.9,8.9,8.9,8.8,8.8,8.7,8.7,8.6,8.6,8.7,8.7,8.7,8.7,8.6,8.5,8.5,8.5,8.4,8.3,8.2,8.1,8.1,8,7.9,7.9,7.8,7.7,7.6,7.5,7.4,7.2,7.1,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.3,6.3,6.4,6.4,6.4,6.3,6.2,6.1,6,6,5.9,5.9,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.9,5,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.5,5.6,5.7,5.7,5.6,5.6,5.5,5.6,5.8,6,15.7,11,9.6,8.5,7.8,7.2,6.9,6.7,6.6,6.4,6.3,6.2,6.2,6.1,6.2
Missouri,8.8,8.7,8.6,8.4,8.2,8,7.8,7.6,7.5,7.4,7.3,7.2,7.2,7.1,7,7,7,7,7,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.7,6.6,6.6,6.6,6.6,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.7,5.6,5.6,5.6,5.5,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.4,4.5,4.6,4.7,4.7,4.7,4.7,4.6,4.5,4.3,4.2,4,3.9,3.9,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,12.5,9.6,8.1,6.8,6,5.4,5,4.7,4.4,4.3,4.3,4.2,4.1,4.2,4.3
